mass,961.9
size,293.8,204.1,326.1
Average Velocity,15.43
Velocity Stdev,8.473
Straight Factor,0.00598
Frame Z Position Stdev,0.59


Time(s),Path(x),Path(y),Path(z),Pos(x),Pos(y),Pos(z),force(x),force(y),force(z)
17.02,0.4254,-0.0603,-0.2465,-1.784,0.001316,0.2598,-0.004031,-0.004558,0.1602
17.05,0.5032,-0.06322,-0.2449,-1.788,0.001345,0.2602,-0.002485,-0.003959,0.1364
17.07,0.5812,-0.06696,-0.2433,-1.793,0.001349,0.2605,-0.0007938,-0.003322,0.112
17.1,0.6593,-0.07133,-0.2416,-1.798,0.001361,0.2609,0.0008666,-0.002679,0.08761
17.13,0.7374,-0.07627,-0.2398,-1.803,0.001369,0.2611,0.002459,-0.002039,0.0632
17.15,0.8156,-0.0817,-0.2377,-1.809,0.001347,0.2612,0.003934,-0.001403,0.03898
17.18,0.8938,-0.08751,-0.2355,-1.815,0.001352,0.2613,0.004543,-0.000772,0.01709
17.2,0.9722,-0.0936,-0.2331,-1.821,0.001406,0.2613,0.001177,-0.0001357,0.001923
17.23,1.051,-0.09994,-0.2307,-1.827,0.001443,0.2612,-1.01e-07,1.18e-07,-0.0001009
17.25,1.129,-0.1065,-0.2283,-1.834,0.001496,0.261,-2.062e-06,1.239e-08,-9.937e-05
17.27,1.208,-0.1131,-0.226,-1.841,0.001544,0.2607,-4.571e-06,6.18e-08,-9.848e-05
17.3,1.287,-0.1197,-0.2241,-1.847,0.001531,0.2605,-7.149e-06,1.403e-07,-9.749e-05
17.32,1.366,-0.1264,-0.2228,-1.852,0.001499,0.2604,-9.208e-06,1.002e-07,-9.62e-05
17.35,1.445,-0.1331,-0.2222,-1.857,0.001502,0.2604,-1.065e-05,-1.715e-08,-9.456e-05
17.38,1.524,-0.1396,-0.2225,-1.862,0.001551,0.2604,-1.137e-05,-7.823e-08,-9.289e-05
17.4,1.603,-0.1462,-0.2237,-1.866,0.001597,0.2605,-1.15e-05,-5.88e-08,-9.107e-05
17.43,1.682,-0.1526,-0.2259,-1.87,0.001611,0.2606,-1.127e-05,5.344e-08,-8.97e-05
17.45,1.761,-0.1588,-0.2287,-1.873,0.001631,0.2607,-1e-05,9.328e-08,-8.884e-05
17.48,1.84,-0.1647,-0.232,-1.877,0.001658,0.2608,-8.07e-06,3.197e-08,-8.86e-05
17.5,1.918,-0.1704,-0.2353,-1.88,0.001688,0.2609,-5.467e-06,1.063e-07,-8.953e-05
17.52,1.997,-0.1757,-0.2382,-1.884,0.001707,0.2609,-1.875e-06,3.836e-08,-9.039e-05
17.55,2.076,-0.1806,-0.2406,-1.887,0.001729,0.261,2.304e-06,-1.111e-07,-9.135e-05
17.57,2.155,-0.1849,-0.2427,-1.891,0.001771,0.261,6.644e-06,-5.23e-08,-9.276e-05
17.6,2.233,-0.1883,-0.2444,-1.895,0.001782,0.261,1.049e-05,1.382e-07,-9.375e-05
17.63,2.312,-0.1909,-0.2461,-1.899,0.001759,0.261,1.522e-05,1.27e-07,-9.529e-05
17.65,2.391,-0.1927,-0.2476,-1.904,0.001802,0.261,1.956e-05,-3.183e-09,-9.613e-05
17.68,2.469,-0.1939,-0.2491,-1.909,0.00185,0.2609,2.38e-05,-1.268e-09,-9.623e-05
